E_AGE,E_SEX,A11,A12,A13,A14,A15,A16,A17,A18,G124,G125,G126,W2B19,W2B20,W2B21,W2B22,W2B23,W2B24,W2B25,W2B26,W2B27,W2B28,W2E87,W2E88,W2E89,FW,JS,W2JS,W2SD,freewill,filter_$,personalagency
28,1,5,5,5,1,5,5,2,5,6,4,4,1,1,1,2,2,1,1,0,0,0,7,7,7,4.125,4.66666666666667,7,1,4.125,1,5
25,1,5,5,5,4,3,5,3,5,6,4,3,1,0,1,2,0,1,1,0,0,0,5,5,5,4.375,4.33333333333333,5,1,4.375,1,5
28,1,4,3,4,2,4,4,1,3,4,4,4, , , , , , , , , , , , , ,3.125,4, , ,3.125,0,3.75
26,0,4,4,5,2,4,5,1,4,5,6,6,1,1,1,0,2,1,1,0,2,2,6,6,6,3.625,5.66666666666667,6,3.5,3.625,1,4.5
26,0,5,5,4,1,2,2,4,3,3,4,4, , , , , , , , , , , , , ,3.25,3.66666666666667, , ,3.25,0,3.5
38,1,5,4,4,3,4,5,1,5,6,5,5,1,0,0,2,2,0,1,1,2,2,4,5,5,3.875,5.33333333333333,4.66666666666667,2.25,3.875,1,4.75
32,0,5,5,5,2,3,3,2,4,5,5,5,1,1,0,2,2,1,1,0,2,2,4,4,4,3.625,5,4,3.25,3.625,1,4.25
36,1,5,5,5,1,5,5,3,5,7,6,6,1,1,1,2,2,1,1,0,0,0,6,6,6,4.25,6.33333333333333,6,1,4.25,1,5
28,1,3,3,4,3,4,4,2,5,6,6,6,1,1,1,2,2,1,1,1,2,2,4,4,4,3.5,6,4,3,3.5,1,4
26,1,5,5,4,2,4,4,3,4,6,6,6,1,1,0,2,2,1,0,0,2,0,6,6,6,3.875,6,6,1,3.875,1,4.25
28,1,5,5,5,2,4,4,2,5,5,5,5,1,1,1,2,0,1,0,0,0,2,5,5,5,4,5,5,1.5,4,1,4.75
24,1,4,4,3,2,4,4,2,4,5,5,5,1,1,1,2,0,1,1,1,0,0,6,6,6,3.375,5,6,1.25,3.375,1,3.75
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
36,1,5,5,5,2,5,5,3,5,6,6,6,0,1,1,2,0,1,1,0,0,0,5,3,5,4.375,6,4.33333333333333,1.75,4.375,1,5
33,1,5,4,5,2,4,4,3,5,6,6,6,1,1,1,2,0,1,1,0,2,2,6,6,6,4,6,6,1,4,1,4.75
29,0,4,4,4,4,4,4,4,4,6,6,5,1,1,1,2,0,1,1,1,2,0,5,5,5,4,5.66666666666667,5,1,4,1,4
29,1,4,4,4,1,4,4,2,4,5,4,4, , , , , , , , , , , , , ,3.375,4.33333333333333, , ,3.375,0,4
35,1,5,4,4,3,4,4,3,4,5,5,5,1,1,1,2,0,1,1,0,0,0,5,5,5,3.875,5,5,2,3.875,1,4.25
25,0,3,3,3,2,4,4,2,3,5,5,5,1,0,1,2,0,1,0,0,0,0,5,5,5,3,5,5,1,3,1,3.25
25,0,5,4,4,1,4,5,2,4,6,5,5, , , , , , , , , , , , , ,3.625,5.33333333333333, , ,3.625,0,4.5
30,1,5,5,5,3,4,4,3,5,5,5,5,1,1,1,2,0,1,1,0,0,0,5,5,5,4.25,5,5,1,4.25,1,4.75
24,1,3,3,2,2,3,3,2,3,1,2,4,1,1,1,0,0,1,0,1,2,0,6,6,1,2.625,2.33333333333333,4.33333333333333,1,2.625,1,2.75
24,0,4,4,4,3,4,4,3,4,6,6,6,1,1,1,2,2,1,1,1,2,0,5,5,5,3.75,6,5,1,3.75,1,4
33,1,5,5,5,4,4,3,1,5,6,6,6,1,1,1,2,2,1,1,0,2,0,7,7,7,4,6,7,1,4,1,4.5
49,1,5,5,5,5,5,5,4,5,5,7,6, , , , , , , , , , , , , ,4.875,6, , ,4.875,0,5
34,0,5,5,4,3,4,4,3,4,6,6,6, , , , , , , , , , , , , ,4,6, , ,4,0,4.25
30,0,4,4,4,3,4,5,4,4,6,6,6,1,1,1,2,2,0,1,0,0,0,6,6,6,4,6,6,1.25,4,1,4.25
29,1,5,5,5,3,5,5,3,5,7,7,7, , , , , , , , , , , , , ,4.5,7, , ,4.5,0,5
25,1,5,5,5,1,5,4,3,5,5,5,5,0,0,0,2,2,0,0,0,0,0,6,6,6,4.125,5,6,1.5,4.125,1,4.75
33,1,5,5,5,3,5,5,3,5,4,4,4, , , , , , , , , , , , , ,4.5,4, , ,4.5,0,5
29,0,5,5,5,4,5,5,3,5,6,6,6, , , , , , , , , , , , , ,4.625,6, , ,4.625,0,5
47,0,5,5,5,1,5,5,1,5,6,6,6,1,1,1,0,2,1,0,0,0,0,6,6,6,4,6,6,1,4,1,5
32,1,5,5,5,4,5,4,5,5,7,7,7,1,1,1,2,0,1,1,0,0,0,5,5,5,4.75,7,5,1,4.75,1,4.75
32,1,5,4,4,2,4,5,4,3,6,6,6,1,1,1,2,2,1,0,0,0,0,5,6,6,3.875,6,5.66666666666667,1.75,3.875,1,4.25
48,1,5,4,4,4,5,5,3,4,6,6,6,1,0,1,2,2,1,1,1,0,0,5,5,5,4.25,6,5,1,4.25,1,4.5
31,1,4,4,4,3,4,4,2,4,4,4,4, , , , , , , , , , , , , ,3.625,4, , ,3.625,0,4
29,1,4,4,5,2,4,4,3,5,6,6,6,1,1,1,2,0,1,1,0,0,0,7,7,7,3.875,6,7,1.25,3.875,1,4.5
33,1,5,4,4,1,4,4,1,2,1,1,1,1,0,1,2,2,0,0,0,2,2,5,5,5,3.125,1,5,2.5,3.125,1,3.75
30,1,4,5,4,3,3,4,3,3,4,5,5,0,1,1,2,0,0,1,0,2,0,6,6,6,3.625,4.66666666666667,6,2,3.625,1,3.75
3,0,4,4,4,2,4,4,4,4,4,5,5, , , , , , , , , , , , , ,3.75,4.66666666666667, , ,3.75,0,4
24,1,5,5,4,2,3,3,1,5,2,2,2, , , , , , , , , , , , , ,3.5,2, , ,3.5,0,4.25
51,1,5,5,5,5,5,5,5,5,6,6,6,1,1,1,2,0,1,1,0,2,0,6,6,6,5,6,6,1,5,1,5
29,1,4,4,4,3,4,4,2,4,3,5,5,1,1,1,2,0,1,0,0,2,2,5,5,5,3.625,4.33333333333333,5,1.5,3.625,1,4
28,1,5,4,4,5,4,5,2,5,4,4,6,1,0,1,2,0,0,0,1,0,2,7,7,7,4.25,4.66666666666667,7,2.5,4.25,1,4.75
34,1,5,5,5,3,5,5,3,5,7,7,7,0,1,1,2,0,1,1,0,0,0,7,7,7,4.5,7,7,1.25,4.5,1,5
24,1,5,5,4,3,3,4,1,4,3,2,2, , , , , , , , , , , , , ,3.625,2.33333333333333, , ,3.625,0,4.25
40,1,5,5,5,1,5,5,3,5,6,6,6,1,1,1,2,0,0,1,0,0,0,6,6,6,4.25,6,6,1,4.25,1,5
37,1,4,5,4,3,5,5,3,5,7,7,7,1,1,1,2,0,1,1,0,0,0,7,7,7,4.25,7,7,1.25,4.25,1,4.5
29,1,5,3,4,2,3,5,2,5,6,6,6, , , , , , , , , , , , , ,3.625,6, , ,3.625,0,4.75
32,0,5,5,5,1,5,5,1,5,2,1,3, , , , , , , , , , , , , ,4,2, , ,4,0,5
27,1,2,2,2,2,2,2,2,2,7,7,7,1,0,1,0,0,1,0,1,0,0,7,7,7,2,7,7,1,2,1,2
24,1,5,5,5,1,5,5,1,5,5,4,5,1,0,1,0,0,1,1,0,0,0,3,3,3,4,4.66666666666667,3,1,4,1,5
30,1,3,3,3,2,3,3,2,3,4,4,4,1,1,0,2,2,0,1,0,0,0,5,4,5,2.75,4,4.66666666666667,1,2.75,1,3
33,1,5,5,5,3,5,5,3,5,7,7,7,1,1,1,2,0,1,1,0,2,0,7,7,7,4.5,7,7,1,4.5,1,5
30,1,5,5,5,5,5,5,4,5,7,7,7,0,0,1,2,2,0,0,0,0,0,6,6,6,4.875,7,6,1,4.875,1,5
32,1,3,3,4,3,4,5,2,5,5,3,3,1,1,1,2,2,1,0,0,2,0,6,6,6,3.625,3.66666666666667,6,1.5,3.625,1,4.25
31,1,5,5,5,2,4,4,2,4,3,4,4, , , , , , , , , , , , , ,3.875,3.66666666666667, , ,3.875,0,4.5
28,1,5,4,4,3,4,4,4,4,6,6,6,1,1,1,2,0,1,1,1,0,0,6,6,6,4,6,6,1.25,4,1,4.25
27,1,5,4,4,2,4,5,3,4,7,7,7,1,1,1,2,0,1,1,0,0,0,6,6,6,3.875,7,6,1,3.875,1,4.5
26,0,4,3,4,1,5,4,3,4,4,5,5,1,1,1,2,2,0,0,0,2,2,5,5,5,3.5,4.66666666666667,5,1,3.5,1,4
32,1,5,4,4,4,4,4,5,4,5,5,6,1,1,1,2,2,1,1,0,0,0,6,6,6,4.25,5.33333333333333,6,1.5,4.25,1,4.25
27,1,3,5,5,2,3,5,3,3,6,5,7,0,0,1,0,0,1,0,0,0,0,7,7,7,3.625,6,7,1.75,3.625,1,4
30,1,5,5,5,1,5,5,1,5,7,7,7,1,0,1,2,0,1,1,0,0,0,6,6,6,4,7,6,1,4,1,5
30,1,4,4,4,3,4,4,3,4,5,5,5,1,1,1,2,2,1,0,1,0,0,6,6,6,3.75,5,6,1,3.75,1,4
23,0,5,4,5,5,5,4,5,5,6,6,6,0, , ,2,2,0,1, , , ,5,5,5,4.75,6,5,1,4.75,1,4.75
24,1,5,5,5,4,5,5,5,5,5,5,5,1,1,1,2,2,1,1,0,0,2,5,5,5,4.875,5,5,1.25,4.875,1,5
42,1,5,5,5,3,4,4,3,5,7,7,7,1,1,1,2,2,0,1,1,0,0,6,6,6,4.25,7,6,1,4.25,1,4.75
33,1,4,4,4,3,4,4,3,4,7,7,7,1,1,1,2,0,0,1,1,0,0,7,7,7,3.75,7,7,1,3.75,1,4
30,1,5,5,5,3,5,5,5,5,7,7,7,1,1,1,2,2,1,1,1,0,0,7,7,7,4.75,7,7,1,4.75,1,5
30,1,5,4,5,3,5,4,2,4,7,7,7,1,1,1,2,2,1,1,1,2,0,5,5,5,4,7,5,1,4,1,4.5
27,0,3,3,3,2,4,3,3,3,7,7,7,0,0,1,2,0,1,1,0,2,2,7,7,7,3,7,7,1,3,1,3
24,1,5,5,5,3,5,5,1,5,6,6,6, , , , , , , , , , , , , ,4.25,6, , ,4.25,0,5
30,1,3,4,4,3,4,4,4,4,6,6,6,0,1,0,2,2,0,0,0,2,0,5,5,5,3.75,6,5,2,3.75,1,3.75
35,1,4,4,5,2,4,4,1,4,6,6,6,1,1,1,2,2,0,1,0,0,0,6,5,7,3.5,6,6,2,3.5,1,4.25
25,0,4,4,4,2,3,3,2,3,6,6,6,0,1,1,2,0,1,0,0,2,0,6,6,6,3.125,6,6,2,3.125,1,3.5
34,0,3,3,3,3,3,3,3,3,5,5,5,1,0,1,2,0,1,0,0,2,0,4,4,4,3,5,4,1.5,3,1,3
33,1,5,5,5,1,5,5,1,5,7,7,7,1,1,1,2,2,1,1,1,2,2,7,7,7,4,7,7,1.5,4,1,5
28,1,1,4,2,4,2,2,4,2,6,6,6,1,1,1,0,0,1,1,0,2,0,5,5,5,2.625,6,5,1.5,2.625,1,1.75
42,1,5,4,4,3,4,4,3,4,6,6,6,1,0,1,2,2,1,1,0,0,0,7,7,7,3.875,6,7,1.5,3.875,1,4.25
28,0,5,4,5,3,4,5,4,5,6,6,6,1,1,1,2,0,1,0,0,0,0,7,7,7,4.375,6,7,1.5,4.375,1,5
33,1,5,1,5,1,1,5,1,5,2,3,3,1,1,1,2,2,1,1,1,0,2,4,4,4,3,2.66666666666667,4,1.75,3,1,5
32,1,5,5,5,2,4,4,1,5,6,6,6,1,1,1,2,0,1,1,1,0,0,6,6,6,3.875,6,6,1.25,3.875,1,4.75
29,1,4,3,4,2,4,4,1,4,5,5,4, , , , , , , , , , , , , ,3.25,4.66666666666667, , ,3.25,0,4
35,1,5,5,4,3,4,5,3,5,6,6,6,1,1,1,2,2,1,1,1,2,2,7,7,7,4.25,6,7,2,4.25,1,4.75
32,1,5,5,4,4,5,4,2,5,6,6,6,1,1,1,2,2,1,1,1,2,2,6,6,6,4.25,6,6,2,4.25,1,4.5
31,1,5,4,4,3,4,4,4,5,4,2,4,1,1,1,2,0,1,1,0,0,0,5,4,5,4.125,3.33333333333333,4.66666666666667,1.75,4.125,1,4.5
24,1,5,5,3,3,5,3,3,5,6,2,5,1,1,1,2,0,1,0,0,2,0,5,4,5,4,4.33333333333333,4.66666666666667,1,4,1,4
29,1,5,5,5,4,5,5,5,5,7,7,7, , , , , , , , , , , , , ,4.875,7, , ,4.875,0,5
28,1,4,4,4,2,3,4,2,4,6,6,6,1,1,1,2,0,1,1,0,0,2,6,6,6,3.375,6,6,1.5,3.375,1,4
27,0,5,5,5,3,4,4,3,4,7,7,7,1,1,1,2,0,1,1,0,2,2,6,6,6,4.125,7,6,1.25,4.125,1,4.5
38,1,5,5,5,2,5,5,2,5,6,6,6,1,0,1,2,0,1,1,0,0,0,7,7,7,4.25,6,7,1,4.25,1,5
26,0,5,5,5,1,5,5,4,3,6,6,6, , , , , , , , , , , , , ,4.125,6, , ,4.125,0,4.5
28,0,5,5,5,1,4,4,3,5,7,7,7,1,1,0,2,0,1,0,1,0,2,6,6,6,4,7,6,1,4,1,4.75
26,1,4,3,5,5,5,4,4,5,7,7,7,1,1,1,2,2,1,1,0,2,2,7,7,7,4.375,7,7,1.25,4.375,1,4.5
25,1,4,5,5,2,5,5,4,5,7,6,7,1,0,0,2,0,1,1,0,2,0,7,7,7,4.375,6.66666666666667,7,1,4.375,1,4.75
32,0,5,5,5,3,5,5,3,5,7,7,7,1,1,1,0,2,1,1,0,0,0,7,6,6,4.5,7,6.33333333333333,1.5,4.5,1,5
27,0,4,5,5,3,5,5,3,5,6,6,6,1,1,1,2,2,1,1,0,0,0,6,6,6,4.375,6,6,1,4.375,1,4.75
33,1,5,4,5,2,4,4,4,4,7,7,7,1,1,1,2,2,1,1,0,0,0,6,6,6,4,7,6,1,4,1,4.5
29,0,5,5,5,2,5,5,2,5,7,7,7,1,1,1,2,2,1,1,0,2,0,6,6,6,4.25,7,6,1,4.25,1,5
34,0,4,4,4,3,4,4,3,4,5,4,4,0,1,1,2,2,0,1,0,2,0,2,2,2,3.75,4.33333333333333,2,1.25,3.75,1,4
32,0,4,5,5,3,5,4,2,5,6,5,5,1,0,0,2,2,1,1,1,0,0,6,6,6,4.125,5.33333333333333,6,1.25,4.125,1,4.5
35,1,5,4,5,2,4,5,2,5,6,6,7,0,1,1,2,2,1,0,0,0,0,6,6,6,4,6.33333333333333,6,1,4,1,5
29,1,5,4,4,3,4,5,2,5,7,7,7,1,1,1,2,0,1,0,1,2,0,6,6,6,4,7,6,1,4,1,4.75
24,1,5,5,5,3,4,4,4,5,6,6,6, , , , , , , , , , , , , ,4.375,6, , ,4.375,0,4.75
36,1,4,4,4,2,4,4,2,4,4,4,4,1,1,1,2,0,1,1,1,2,0,3,3,3,3.5,4,3,1,3.5,1,4
29,1,3,3,3,2,3,4,2,3,5,5,5,1,1,0,2,2,1,1,0,0,0,5,5,5,2.875,5,5,1.25,2.875,1,3.25
31,1,3,3,3,2,3,4,2,3,5,5,5,1,1,1,2,2,0,1,0,0,0,6,6,6,2.875,5,6,2.25,2.875,1,3.25
33,0,5,5,5,2,4,4,2,4,6,6,4,1,1,0,2,0,1,1,0,0,0,6,6,6,3.875,5.33333333333333,6,1,3.875,1,4.5
24,1,5,5,5,2,5,5,5,5,7,7,7,0,0,1,2,0,1,1,0,2,0,7,6,7,4.625,7,6.66666666666667,1.75,4.625,1,5
32,1,5,5,5,1,5,5,2,5,5,5,5,1,1,1,2,2,1,1,0,2,0,6,6,6,4.125,5,6,2.5,4.125,1,5
33,1,5,4,4,2,5,5,2,3,7,7,7,1,1,0,2,0,0,1,0,0,0,7,6,7,3.75,7,6.66666666666667,1.5,3.75,1,4.25
31,1,5,5,5,2,5,5,5,5,6,5,6,1,1,1,2,0,1,1,0,0,0,6,6,6,4.625,5.66666666666667,6,1,4.625,1,5
25,1,5,5,5,5,5,5,5,5,7,7,7,1,1,1,2,2,1,1,0,2,2,7,7,7,5,7,7,1,5,1,5
35,1,4,5,4,2,4,4,3,4,6,5,5,1,1,1,2,2,0,0,0,0,0,6,5,4,3.75,5.33333333333333,5,1,3.75,1,4
26,1,4,4,4,4,4,4,4,5,6,6,6,1,1,1,2,0,0,0,0,0,0,6,6,6,4.125,6,6,1.75,4.125,1,4.25
30,1,5,4,5,2,4,5,2,4,6,6,7,1,1,1,2,2,1,1,0,0,2,7,7,7,3.875,6.33333333333333,7,2.75,3.875,1,4.75
34,1,4,4,4,2,4,5,2,5,6,6,6,1,1,1,2,0,1,0,0,0,0,6,6,6,3.75,6,6,1,3.75,1,4.5
27,1,5,5,5,1,5,5,1,5,4,4,4,0,1,1,2,2,1,1,0,0,2,6,6,3,4,4,5,1,4,1,5
27,0,5,5,4,2,4,4,2,4,6,6,6,1,1,1,2,0,1,0,1,0,0,6,6,6,3.75,6,6,2,3.75,1,4.25
38,1,5,4,4,2,3,4,2,4,6,6,6,1,1,0,2,0,1,0,0,0,2,7,4,5,3.5,6,5.33333333333333,1.75,3.5,1,4.25
37,1,5,5,5,3,4,4,3,4,4,4,4,0,1,0,0,2,1,0,0,0,0,4,4,4,4.125,4,4,1,4.125,1,4.5
28,1,4,4,4,2,3,5,2,3,6,6,6, , , , , , , , , , , , , ,3.375,6, , ,3.375,0,4
26,1,4,4,4,3,4,4,3,4,6,6,6,1,0,1,2,2,1,1,1,2,0,6,5,5,3.75,6,5.33333333333333,1.5,3.75,1,4
40,1,5,5,5,2,5,5,2,5,7,7,7,1,1,1,2,2,1,1,0,0,0,6,6,6,4.25,7,6,1,4.25,1,5
34,1,5,5,4,2,3,2,2,4,6,6,6,1,1,1,2,0,1,1,0,0,0,6,6,6,3.375,6,6,1,3.375,1,3.75
30,1,5,4,5,3,4,4,4,5,7,7,7,1,1,1,2,2,1,1,1,2,0,7,7,7,4.25,7,7,1,4.25,1,4.75
30,1,4,4,3,3,4,4,2,5,7,7,7,1,1,1,2,2,1,1,1,2,0,7,7,7,3.625,7,7,1,3.625,1,4
33,1,5,4,4,3,4,4,3,5,6,6,6,1,1,1,2,2,1,1,1,0,0,7,7,7,4,6,7,1,4,1,4.5
26,1,4,4,3,3,4,4,2,5,5,6,5,1,1,1,2,0,1,1,1,2,0,7,7,7,3.625,5.33333333333333,7,1,3.625,1,4
26,1,5,5,5,3,4,4,2,4,6,6,6,1,1,1,2,0,1,1,0,0,0,6,6,6,4,6,6,1.5,4,1,4.5
23,1,4,5,4,1,4,4,3,4,7,5,4, , , , , , , , , , , , , ,3.625,5.33333333333333, , ,3.625,0,4
24,1,5,5,5,5,5,5,5,5,6,6,6,1,1,1,2,2,1,1,1,2,2,4,4,4,5,6,4,3,5,1,5
33,1,4,3,3,3,4,4,3,4,7,7,7, , , , , , , , , , , , , ,3.5,7, , ,3.5,0,3.75
41,1,5,5,4,3,4,4,2,4,5,6,6,1,1,1,2,2,0,1,1,0,0,6,6,6,3.875,5.66666666666667,6,1,3.875,1,4.25
33,1,5,5,5,5,5,5,5,5,7,7,7,1,1,1,2,2,1,1,1,2,2,7,7,7,5,7,7,1.75,5,1,5
26,1,5,5,5,2,5,5,2,5,7,7,7,1,1,1,2,0,1,1,1,0,0,6,6,6,4.25,7,6,1.5,4.25,1,5
26,1,5,5,5,4,5,5,2,5,2,2,2,1,1,1,2,2,1,1,1,0,0,7,7,7,4.5,2,7,1.25,4.5,1,5
30,1,4,4,5,2,5,4,2,5,6,6,6,0,1,1,2,2,1,0,0,2,2,6,6,6,3.875,6,6,1.25,3.875,1,4.5
29,0,5,5,5,3,4,5,4,5,7,7,7,1,1,1,2,2,1,0,0,0,0,6,6,6,4.5,7,6,1,4.5,1,5
24,1,4,4,4,2,3,4,2,4,6,6,6,0,1,1,2,0,1,1,0,0,0,6,6,6,3.375,6,6,1.25,3.375,1,4
29,1,5,5,5,4,4,4,3,4,6,5,5,1,1,1,2,0,1,1,0,0,2,4,4,5,4.25,5.33333333333333,4.33333333333333,1,4.25,1,4.5
26,1,5,5,5,3,5,5,4,5,5,5,5,1,1,1,2,0,1,1,1,0,0,6,5,7,4.625,5,6,1,4.625,1,5
31,1,5,4,4,4,4,5,4,4,6,6,6,1,1,1,2,0,1,0,0,0,0,6,6,6,4.25,6,6,1,4.25,1,4.5
27,1,4,4,4,3,4,4,4,4,6,6,6,0,0,1,0,2,1,0,0,0,0,6,6,6,3.875,6,6,1.5,3.875,1,4
31,0,4,4,4,2,3,3,3,3,5,2,2,1,1,1,0,0,1,1,0,0,0,5,6,4,3.25,3,5,1,3.25,1,3.5
26,1,4,5,4,5,5,5,3,5,6,4,4,1,1,1,0,0,1,0,0,0,0,4,4,4,4.5,4.66666666666667,4,1,4.5,1,4.5
25,1,4,5,5,1,4,4,2,4,6,6,6,1,0,1,2,2,1,1,0,2,0,6,6,6,3.625,6,6,1.5,3.625,1,4.25
35,1,3,4,4,3,4,4,3,3,6,6,6,0,1,1,2,0,1,1,0,0,0,6,6,6,3.5,6,6,1,3.5,1,3.5
32,1,5,5,5,2,5,5,2,5,7,7,7,1,1,1,2,0,0,1,0,0,0,7,6,7,4.25,7,6.66666666666667,1,4.25,1,5
36,1,5,5,5,1,5,5,1,5,7,7,7,1,1,1,2,2,0,1,0,2,0,6,6,6,4,7,6,1,4,1,5
30,1,5,4,5,3,5,4,3,5,6,6,6,1,1,1,2,0,1,1,0,0,0,6,6,6,4.25,6,6,1.75,4.25,1,4.75
28,1,4,4,3,2,3,4,3,3,5,5,5, , , , , , , , , , , , , ,3.25,5, , ,3.25,0,3.5
31,1,5,3,5,3,4,5,1,5,7,7,7,1,1,1,2,0,1,1,0,0,0,7,7,7,3.875,7,7,1,3.875,1,5
27,1,5,4,4,2,4,5,2,4,6,6,6,0,1,0,2,2,0,0,0,0,2,6,6,6,3.75,6,6,1.25,3.75,1,4.5
25,1,5,5,5,2,5,5,4,5,7,7,7,1,1,1,2,0,1,1,1,0,0,7,7,7,4.5,7,7,1,4.5,1,5
29,1,5,5,5,3,5,5,3,5,7,7,7,1,1,1,2,0,1,1,0,0,0,7,7,7,4.5,7,7,1.5,4.5,1,5
35,1,4,4,4,4,4,4,4,4,5,5,5,1,1,1,0,0,0,1,0,0,0,5,5,5,4,5,5,1,4,1,4
26,1,5,4,4,2,4,5,2,4,4,4,4,1,0,1,2,0,1,1,0,2,0,6,6,6,3.75,4,6,1,3.75,1,4.5
32,1,5,5,5,2,5,5,2,4,6,5,5,1,1,1,2,0,1,1,0,2,0,6,6,6,4.125,5.33333333333333,6,1,4.125,1,4.75
28,1,5,4,3,3,4,5,3,5,6,6,7,1,1,1,2,0,1,1,0,0,0,6,6,6,4,6.33333333333333,6,1,4,1,4.5
26,1,5,4,5,4,4,5,4,5,7,7,7,0,1,1,2,2,1,0,0,2,0,7,6,6,4.5,7,6.33333333333333,1,4.5,1,5
33,1,5,5,5,1,5,5,1,5,7,7,7,1,1,1,2,2,1,1,1,0,0,6,6,6,4,7,6,2,4,1,5
25,1,5,5,5,3,5,5,3,5,7,4,4,1,0,1,2,2,1,1,1,0,0,7,7,7,4.5,5,7,1,4.5,1,5
26,0,5,5,5,3,5,4,3,5,6,6,6,1,1,1,2,2,1,0,0,0,0,5,4,4,4.375,6,4.33333333333333,1.75,4.375,1,4.75
25,1,5,5,5,1,1,5,5,5,5,5,5,1,1,1,2,0,1,1,0,0,0,5,5,5,4,5,5,1.25,4,1,5
35,0,4,3,3,2,3,3,2,3,4,4,4,1,1,1,2,2,1,1,1,2,0,7,7,7,2.875,4,7,1,2.875,1,3.25
34,1,5,5,5,1,3,3,1,5,7,7,7,1,1,1,2,0,1,1,1,0,0,7,4,7,3.5,7,6,1,3.5,1,4.5
30,0,4,4,4,3,4,4,4,4,6,6,6, , , , , , , , , , , , , ,3.875,6, , ,3.875,0,4
25,1,5,5,5,5,5,5,5,5,7,7,7,1,1,1,2,2,1,1,1,2,0,7,7,7,5,7,7,1,5,1,5
28,1,4,4,4,2,4,4,2,4,5,4,4,1,1,1,2,2,1,0,0,0,0,6,6,6,3.5,4.33333333333333,6,1.75,3.5,1,4
33,1,5,5,5,1,5,5,2,3,7,7,7, , , , , , , , , , , , , ,3.875,7, , ,3.875,0,4.5
