Age,Sex,Job Satisfaction (T1),Job Satisfaction (T2),Belief in Free Will (T1),Job Autonomy (T1),Job Autonomy (T2),Locus of Control,Implicit Beliefs,Self-Esteem,Self-Efficacy,Self-Control,age_group
32,1,6,6.2,5.11111111111111,7,6,8,1.875,7,7,4.53846153846154,31-40
29,1,4.6,4.8,5,5,4,12,2,3,4,2.76923076923077,18-30
28,1,4.8,5,5.11111111111111,5.66666666666667,6.66666666666667,6,2.875,4.5,7,3.92307692307692,18-30
29,1,4.2,4.4,5.33333333333333,5.33333333333333,6,6,2.5,5.7,5.66666666666667,3.38461538461538,18-30
49,2,4.4,NA,5.33333333333333,6,NA,9,3.875,5.1,6.33333333333333,2.84615384615385,41-50
25,2,5,NA,5.11111111111111,4,NA,5,2.375,4.5,7,3.53846153846154,18-30
28,2,6,6.2,4.22222222222222,4.66666666666667,5,0,4.125,5.4,5.33333333333333,4.76923076923077,18-30
34,1,5.2,4.6,5.33333333333333,5.66666666666667,6.66666666666667,7,5.5,6.2,7,3.61538461538462,31-40
23,2,3.2,6.2,5.77777777777778,6,6.33333333333333,7,2.25,2.5,7,1.92307692307692,18-30
46,1,5.2,6.2,5.11111111111111,6.66666666666667,7,2,3.375,5,7,3,41-50
36,1,1,1,5.44444444444444,1,1,12,1.625,1,1,1,31-40
29,1,4.8,4.8,3.88888888888889,5.66666666666667,6,6,2,5.6,6,3.69230769230769,18-30
44,1,5.4,4.6,4.77777777777778,7,5.66666666666667,8,2.125,7,6.33333333333333,4.30769230769231,41-50
33,1,3.6,4,5,6,5,9,4.875,5.9,5.66666666666667,3.61538461538462,31-40
60,1,4.6,5,3.77777777777778,6.33333333333333,5,4,1,4.9,7,4.23076923076923,Over 60
19,1,6,NA,5,6,NA,11,3.25,6,6,4.69230769230769,18-30
25,2,3.8,4.8,4.11111111111111,4.66666666666667,5.33333333333333,3,3.625,5.7,4.33333333333333,4.53846153846154,18-30
28,2,5,NA,5.88888888888889,5.66666666666667,NA,8,1.25,6.3,5.66666666666667,4.38461538461539,18-30
39,1,4.4,NA,4.88888888888889,6,NA,7,3.75,4.7,6,3.84615384615385,31-40
36,2,5.2,4.2,5.11111111111111,6.33333333333333,7,3,4.5,4.4,6.33333333333333,2.61538461538462,31-40
33,2,5.2,NA,5.33333333333333,5.33333333333333,NA,7,1.75,5.5,6,3.84615384615385,31-40
30,1,4.4,3.8,3.11111111111111,3,4,6,3.5,4.7,4.66666666666667,4.53846153846154,31-40
27,2,3.8,NA,4.77777777777778,7,NA,8,3.375,5.3,7,2.92307692307692,18-30
49,2,6,NA,5.66666666666667,4,NA,5,3.375,5.8,7,3.84615384615385,41-50
27,2,5.8,5.4,4.88888888888889,6,6,10,2,5.9,5.33333333333333,4.15384615384615,18-30
39,1,4.4,5.6,4.22222222222222,5.66666666666667,5.33333333333333,10,3.375,4.4,5.33333333333333,3,31-40
38,1,4.6,6.2,5.11111111111111,7,6.33333333333333,8,3.625,6,6.66666666666667,3.84615384615385,31-40
37,2,5.2,6.4,6,6.33333333333333,5.66666666666667,9,3.5,6.4,7,4.07692307692308,31-40
27,2,4.6,NA,4.33333333333333,5,NA,5,3.5,5.7,6,3.84615384615385,18-30
51,2,7,7,5.44444444444444,6.33333333333333,7,10,2.625,6.9,6.66666666666667,4.76923076923077,51-60
49,1,6.4,6,5.11111111111111,5,6,8,1.125,6.4,6.66666666666667,2.23076923076923,41-50
47,2,4.4,2,5.44444444444444,6.33333333333333,5.33333333333333,10,1.625,7,7,4.76923076923077,41-50
29,2,4.6,4.6,4,5.33333333333333,5.33333333333333,3,2,5,5.66666666666667,3.23076923076923,18-30
25,2,3.8,NA,3.33333333333333,5,NA,8,3.75,4.5,5,3.15384615384615,18-30
25,2,5.6,NA,5.66666666666667,6.66666666666667,NA,9,5.125,5.8,6,4,18-30
25,1,3.8,NA,6,6,NA,6,3.125,7,7,4,18-30
22,2,5.8,5.8,4.11111111111111,7,7,6,2.875,6.2,6.33333333333333,2.53846153846154,18-30
35,2,6.2,6.8,5.55555555555556,6.66666666666667,7,7,1.625,6.8,6.33333333333333,4.84615384615385,31-40
24,2,6,NA,4.77777777777778,6,NA,2,4,2.5,5.66666666666667,3.61538461538462,18-30
59,2,5.8,4.6,5,5.33333333333333,6,10,3,6.3,5,2.69230769230769,51-60
32,1,4.6,NA,4.22222222222222,3.66666666666667,NA,4,4.75,3.8,4,2.61538461538462,31-40
22,2,3.8,5.4,5.22222222222222,5.33333333333333,6.66666666666667,10,3.375,4,5.66666666666667,4.07692307692308,18-30
36,2,5.4,NA,4.88888888888889,6.66666666666667,NA,8,4.75,1.8,6.66666666666667,2.69230769230769,31-40
29,2,4.2,NA,5,4,NA,4,3.625,3.4,5,2.53846153846154,18-30
52,2,5,NA,5.77777777777778,6,NA,8,2.875,6.9,7,4.38461538461539,51-60
23,1,4.6,NA,4.33333333333333,5,NA,10,3.375,4,5.33333333333333,2.69230769230769,18-30
27,1,6.4,NA,4.77777777777778,7,NA,6,1,7,7,3.69230769230769,18-30
23,1,2.6,2.2,4.11111111111111,2.66666666666667,3.66666666666667,5,1,5.6,6,3.07692307692308,18-30
24,2,5,6,4.11111111111111,4.66666666666667,5.33333333333333,8,3.875,4.9,5,2.38461538461538,18-30
58,2,3.2,2.2,4.88888888888889,5.33333333333333,6,6,3,5.2,5,3.30769230769231,51-60
49,1,6.2,6,5.55555555555556,4.66666666666667,4,12,1.5,7,7,5,41-50
23,2,5.8,3.6,5.33333333333333,6.33333333333333,5.66666666666667,8,5.625,7,7,3.23076923076923,18-30
25,2,6,NA,5.22222222222222,7,NA,4,1.125,5.8,7,3.53846153846154,18-30
48,2,4,3,4.77777777777778,5.33333333333333,5.66666666666667,5,3,5.6,6.66666666666667,3.23076923076923,41-50
34,1,3.6,NA,3.44444444444444,4,NA,2,3.5,4,3.66666666666667,2.84615384615385,31-40
61,2,3.8,3.2,4.77777777777778,6,6,7,4,5.4,6.66666666666667,3.76923076923077,Over 60
50,1,4.6,6,5.22222222222222,6,6.33333333333333,7,3.25,7,6.66666666666667,4.69230769230769,51-60
26,2,4.6,4.2,4.88888888888889,4,6.33333333333333,8,3.625,4.3,5.66666666666667,3.30769230769231,18-30
40,2,6.2,NA,5,6,NA,6,4.5,5.6,7,2.53846153846154,41-50
25,1,1,1,3.77777777777778,4.33333333333333,3.66666666666667,6,4.125,3.6,7,2.38461538461538,18-30
22,1,5.2,NA,5,5.33333333333333,NA,8,2.625,5.4,5.33333333333333,3.46153846153846,18-30
36,1,5.4,NA,3.33333333333333,6.33333333333333,NA,3,2,3.6,6.33333333333333,2.84615384615385,31-40
22,1,4.2,4.2,5.22222222222222,4.66666666666667,4.66666666666667,6,3,4.3,5,2.84615384615385,18-30
63,2,4.6,5.8,5,3.66666666666667,7,6,3.375,5.6,5,2.76923076923077,Over 60
42,2,7,7,6,7,7,9,2.5,7,7,4.76923076923077,41-50
28,2,5.8,NA,5.66666666666667,7,NA,3,3.125,5.8,7,3.92307692307692,18-30
41,2,4.4,NA,4.55555555555556,5.33333333333333,NA,8,4.75,6.3,6.66666666666667,4.53846153846154,41-50
25,2,3.4,NA,5.11111111111111,6,NA,7,2.875,5.3,6,3.53846153846154,18-30
33,2,4.4,NA,6,6.33333333333333,NA,8,3,6.6,6,4.84615384615385,31-40
48,1,5.6,5.6,5,5,6,7,3,2.1,5,3.15384615384615,41-50
26,1,5.6,NA,4,6.66666666666667,NA,8,4.375,7,6.33333333333333,5,18-30
21,1,5.8,NA,4.11111111111111,5.33333333333333,NA,8,4.25,4.9,5,3.07692307692308,18-30
46,2,6.8,6.4,5.11111111111111,5.33333333333333,5.33333333333333,3,3.125,5.1,6,3.38461538461538,41-50
24,2,4.2,4.2,3,3.33333333333333,4.33333333333333,9,3.125,4.7,3.33333333333333,2.38461538461538,18-30
60,1,5.2,3.4,3.77777777777778,5,3,9,5,7,7,4.84615384615385,Over 60
47,1,6,NA,5.33333333333333,5.66666666666667,NA,8,2,6,7,3.69230769230769,41-50
53,2,5.4,6.4,5.66666666666667,7,7,5,3.25,5.9,7,2.84615384615385,51-60
65,1,5,NA,5.22222222222222,6,NA,9,3.375,6.5,5,3.46153846153846,Over 60
24,1,4,3.8,5.11111111111111,6,5.66666666666667,7,4.125,3.6,6.33333333333333,2.53846153846154,18-30
54,2,4.4,NA,3.33333333333333,4.33333333333333,NA,7,3.5,4.8,4.66666666666667,3,51-60
47,1,4.8,4.8,4.88888888888889,4.33333333333333,5,2,3.625,6,6,2.69230769230769,41-50
23,1,3.8,NA,6,6,NA,2,1,6.4,6,3.15384615384615,18-30
28,1,5,4.6,4.77777777777778,5.66666666666667,6,6,3.5,5.4,6,3.07692307692308,18-30
24,2,5,7,3.55555555555556,4.33333333333333,5,7,3.25,4,4,3,18-30
56,1,5.6,4.6,5.77777777777778,7,6.33333333333333,9,5,5.2,7,4,51-60
43,2,5.2,4,6,7,7,9,1.375,6.3,7,2.84615384615385,41-50
27,2,4.4,4,4.33333333333333,3.66666666666667,4,9,3.25,3.8,7,3.30769230769231,18-30
19,1,4,4.2,3.88888888888889,4,4.33333333333333,4,3.625,4.6,4.66666666666667,2.84615384615385,18-30
41,2,6.2,6.4,4.22222222222222,6,7,9,2,5.3,7,3.76923076923077,41-50
66,1,6.2,NA,5.22222222222222,3.33333333333333,NA,7,3.5,4,7,1.92307692307692,Over 60
34,2,4.4,NA,4.11111111111111,5,NA,10,2,4.8,5,3.76923076923077,31-40
39,1,5,5.2,5.44444444444444,7,7,7,1.75,6.6,6,3.46153846153846,31-40
36,2,6,5.4,5,4.66666666666667,5,7,4.25,6.3,7,4.23076923076923,31-40
30,2,5.6,NA,5.55555555555556,6.33333333333333,NA,8,2.875,5.5,6,3.07692307692308,31-40
28,2,5.8,5.8,6,7,7,10,1.875,6.4,7,4.07692307692308,18-30
33,1,4.8,4.8,5.44444444444444,5.66666666666667,7,11,1.5,7,7,4.15384615384615,31-40
45,2,6,6.4,5,6,6.33333333333333,9,3.125,6,6,4.30769230769231,41-50
24,1,3.8,3.6,4.22222222222222,4.33333333333333,5,10,3,3.7,5.33333333333333,2.92307692307692,18-30
30,1,4.4,NA,5.55555555555556,6.33333333333333,NA,6,2.25,6.5,6.33333333333333,2.92307692307692,31-40
33,1,4.8,4.6,5.44444444444444,6.66666666666667,5.66666666666667,9,3,5.1,7,3.38461538461538,31-40
29,1,4.2,NA,5,5.66666666666667,NA,9,3.625,5.1,6,4.38461538461539,18-30
20,1,6.6,NA,6,7,NA,10,1,6.6,7,3.84615384615385,18-30
43,2,3.6,NA,6,7,NA,6,1,6.4,7,4.38461538461539,41-50
28,2,6,4.8,5.22222222222222,6.66666666666667,6.33333333333333,8,4.75,6,6.33333333333333,3.53846153846154,18-30
30,1,5.4,5,4.66666666666667,5,4.66666666666667,7,2.25,5.3,5,2.92307692307692,31-40
25,1,4.6,4.4,4.11111111111111,4.66666666666667,4.33333333333333,6,3.125,3.8,5,2.92307692307692,18-30
27,1,6.8,6.4,5.55555555555556,7,6.33333333333333,9,2,5.7,6.66666666666667,3.53846153846154,18-30
27,1,4.2,5.2,4.44444444444444,4.66666666666667,4.33333333333333,6,3.125,4.1,5.66666666666667,2.92307692307692,18-30
39,1,6,5.6,5.22222222222222,5.66666666666667,5.33333333333333,9,4.875,6.1,6,4.15384615384615,31-40
22,2,6.6,NA,5,7,NA,6,1.75,3.8,7,3.76923076923077,18-30
32,1,4.2,3.6,4.77777777777778,4.33333333333333,4,3,5,6,5.66666666666667,3.38461538461538,31-40
30,2,4.2,6.2,5.44444444444444,5.33333333333333,6,8,3.5,5.1,5.33333333333333,3.15384615384615,31-40
45,1,6.4,6,5.55555555555556,7,7,10,5,5.8,7,3.53846153846154,41-50
21,2,3.6,4.2,3.33333333333333,5.33333333333333,5.33333333333333,7,2.75,4.2,5.33333333333333,3.15384615384615,18-30
33,2,3,NA,5.33333333333333,4.33333333333333,NA,8,3.5,6.1,6,4.15384615384615,31-40
21,1,4.6,NA,4.11111111111111,7,NA,7,3.875,4.6,6,1.92307692307692,18-30
54,2,5.2,5,5.33333333333333,6.33333333333333,3.33333333333333,6,3.25,6.8,7,3.84615384615385,51-60
30,1,4.4,4.6,6,5.33333333333333,7,11,5,6.7,6.66666666666667,4.07692307692308,31-40
30,2,5.6,5.4,5,4.66666666666667,6,11,2,6.2,6,4.07692307692308,31-40
27,1,6,NA,5.66666666666667,6,NA,8,3.25,6.5,6,4.46153846153846,18-30
36,2,6.2,NA,6,5.66666666666667,NA,9,2.125,3.8,7,3.92307692307692,31-40
29,1,4.2,NA,4.66666666666667,4.33333333333333,NA,6,3,4.6,7,3.07692307692308,18-30
31,2,4.6,4.8,4.88888888888889,5.66666666666667,5.66666666666667,1,3.25,5.5,5,3.76923076923077,31-40
22,1,3.6,4.4,3.88888888888889,5,4.66666666666667,9,3.5,3.8,6,2.76923076923077,18-30
42,1,3.4,4.6,5,4.66666666666667,6.33333333333333,4,3.125,6.8,7,2.46153846153846,41-50
26,1,4,NA,4,5,NA,7,3.75,4.3,5,2.76923076923077,18-30
29,1,6.8,6.6,5.77777777777778,7,6,11,1.125,7,6.66666666666667,4.53846153846154,18-30
26,1,4.8,4.4,4.22222222222222,5,4.33333333333333,9,3.125,5.1,5.33333333333333,2.84615384615385,18-30
51,2,7,7,6,7,7,11,1,7,7,4.69230769230769,51-60
33,1,3.8,2.8,6,5.33333333333333,7,11,1,7,7,4.23076923076923,31-40
36,2,5.8,6,5,5.66666666666667,6.66666666666667,10,2.75,5.5,6,4.30769230769231,31-40
38,1,4.6,4.4,5.55555555555556,5.33333333333333,6,10,3.625,6.5,5.66666666666667,3.84615384615385,31-40
28,2,5.4,6.4,6,7,7,4,3.5,3.9,7,1.76923076923077,18-30
29,1,5.8,6.6,4.55555555555556,4.66666666666667,6.66666666666667,8,1.75,5.9,7,3.53846153846154,18-30
43,2,5.4,5.8,5,6,6,11,1.625,6,6,4.92307692307692,41-50
38,1,5.4,6.2,5.11111111111111,7,7,6,3.625,5.9,6.66666666666667,3.30769230769231,31-40
