,Variable,Title,WVS7,WVS6,WVS5,WVS4,WVS3,WVS2,WVS1,
,A049,Abortion if not wanting more children,,,,,,V240,,
,A057,Spend time with parents or other relatives,,,,V27,,,,
,A058,Spend time with friends,,,,V28,,,,
,A059,Spend time with colleagues from work,,,,V29,,,,
,A060,"Spend time with people at your church, mosque or synagogue",,,,V30,,,,
,A061,"Spend time with people at sport, culture, communal organization",,,,V31,,,,
,A062,How often discusses political matters with friends,Q200,,,V32,V37,V10,V37,
,A063,"Persuading friends, relatives or fellow workers",,,,,,V11,,
,A064,Member: Belong to social welfare service for elderly,,,,V39,,V19,,
,A065,Member: Belong to religious organization,Q94R,,,V40,,V20,,
,A066,"Member: Belong to education, arts, music or cultural activities",Q96R,,,V41,,V21,,
,A067,Member: Belong to labour unions,Q97R,,,V42,,V22,,
,A068,Member: Belong to political parties,Q98R,,,V43,,V23,,
,A069,Member: Belong to local political actions,,,,V44,,V24,,
,A070,Member: Belong to human rights,,,,V45,,V25,,
,A071,"Member: Belong to conservation, the environment, ecology, animal rights",Q99R,,,V46,,,,
,A071B,"Member: Belong to conservation, the environment, ecology",,,,,,V26,,
,A071C,Member: Belong to animal rights,,,,,,V32,,
,A072,Member: Belong to professional associations,Q100R,,,V47,,V27,,
,A073,Member: Belong to youth work,,,,V48,,V28,,
,A074,Member: Belong to sports or recreation,Q95R,,,V49,,V29,,
,A075,Member: Belong to women´s group,Q104R,,,V50,,V30,,
,A076,Member: Belong to peace movement,,,,V51,,V31,,
,A077,Member: Belong to organization concerned with health,,,,V52,,V33,,
,A078,Belong: Consumer groups,Q102R,,,,,,,
,A079,Member: Belong to other groups,Q105R,,,V53,,V34,,
,A080,Member: Belong to none,,,,,,V35,,
,A080_01,Member: Humanitarian or charitable organization,Q101R,,,,,,,
,A080_02,"Member:  Self-help group, mutual aid group",Q103R,,,,,,,
,A081,"Voluntary work: Unpaid work social welfare service for elderly, handicapped or deprived people",,,,V54,,V37,,
,A082,Voluntary work: Unpaid work religious or church organization,,,,V55,,V38,,
,A083,"Voluntary work: Unpaid work education, arts, music or cultural activities",,,,V56,,V39,,
,A084,Voluntary work: Unpaid work labour unions,,,,V57,,V40,,
,A085,Voluntary work: Unpaid work political parties or groups,,,,V58,,V41,,
,A086,Voluntary work: Unpaid work local political action groups,,,,V59,,V42,,
,A087,Voluntary work: Unpaid work human rights,,,,V60,,V43,,
,A088,"Voluntary work: Unpaid work environment, conservation, animal rights",,,,V61,,,,
,A088B,"Voluntary work: Unpaid work environment, conservation, ecology",,,,,,V44,,
,A088C,Voluntary work: Unpaid work animal rights,,,,,,V50,,
,A089,Voluntary work: Unpaid work professional associations,,,,V62,,V45,,
,A090,Voluntary work: Unpaid work youth work,,,,V63,,V46,,
,A091,Voluntary work: Unpaid work sports or recreation,,,,V64,,V47,,
,A092,Voluntary work: Unpaid work women´s group,,,,V65,,V48,,
,A093,Voluntary work: Unpaid work peace movement,,,,V66,,V49,,
,A094,Voluntary work: Unpaid work organization concerned with health,,,,V67,,V51,,
,A096,Voluntary work: Unpaid work other groups,,,,V67B,,V52,,
,A097,Voluntary work: Unpaid work none,,,,,,V53,,
,A098,Active/Inactive membership of church or religious organization,Q94,V25,V24,,V28,,V28,
,A099,Active/Inactive membership of sport or recreation,Q95,V26,V25,,V29,,,
,A100,"Active/Inactive membership of art, music, educational",Q96,V27,V26,,V30,,V30,
,A101,Active/Inactive membership of labour unions,Q97,V28,V27,,V31,,V31,
,A102,Active/Inactive membership of political party,Q98,V29,V28,,V32,,V32,
,A103,Active/Inactive membership of environmental organization,Q99,V30,V29,,V33,,V33,
,A104,Active/Inactive membership of professional organization,Q100,V31,V30,,V34,,V34,
,A105,Active/Inactive membership of charitable/humanitarian organization,Q101,V32,V31,,V35,,V35,
,A106,Active/Inactive membership of any other organization,Q105,V35,V33,,V36,,,
,A106B,Active/Inactive membership: Consumer organization,Q102,V33,,,,,,
,A106C,"Active/Inactive membership: Self-help group, mutual aid group",Q103,V34,,,,,,
,A106D,Active/Inactive membership: Women’s group,Q104,,,,,,,
,A107,Reasons voluntary work: Solidarity with the poor and disadvantaged,,,,,,V55,,
,A108,Reasons voluntary work: Compassion for those in need,,,,,,V56,,
,A109,Reasons voluntary work: Opportunity to repay something,,,,,,V57,,
,A110,"Reasons voluntary work: Sense of duty, moral, obligation",,,,,,V58,,
,A111,Reasons voluntary work: Identifying with people who suffer,,,,,,V59,,
,A112,Reasons voluntary work: Time on my hands,,,,,,V60,,
,A113,Reasons voluntary work: Personal satisfaction,,,,,,V61,,
,A114,Reasons voluntary work: Religious belief,,,,,,V62,,
,A115,Reasons voluntary work: Help disadvantaged people,,,,,,V63,,
,A116,Reasons voluntary work: Make a contribution to my local community,,,,,,V64,,
,A117,Reasons voluntary work: Bring about social or political change,,,,,,V65,,
,A118,Reasons voluntary work: For social reasons,,,,,,V66,,
,A119,Reasons voluntary work: Gain new skills and useful experience,,,,,,V67,,
,A120,"Reasons voluntary work: Did not want to, but could not refuse",,,,,,V68,,
,A124_01,Neighbours: People with a criminal record,,,V43_01,V68,V51,V69,V51,
,A124_02,Neighbours: People of a different race,Q19,V37,V35,V69,V52,V70,V52,
,A124_03,Neighbours: Heavy drinkers,Q24,V42,V40,V70,V54,V72,V54,
,A124_04,Neighbours: Emotionally unstable people,,,V43_02,V71,V55,V75,V55,
,A124_05,Neighbours: Muslims,EVS_v28,,V43_03,V72,V56_01,V76,V56,
,A124_06,Neighbours: Immigrants/foreign workers,Q21,V39,V37,V73,V57,V77,V57,
,A124_07,Neighbours: People who have AIDS,Q20,V38,V36,V74,V58,V78,,
,A124_08,Neighbours: Drug addicts,Q18,V36,V34,V75,V59,V79,,
,A124_09,Neighbours: Homosexuals,Q22,V40,V38,V76,V60,V80,,
,A124_10,Neighbours: Jews,EVS_v29,,V43_04,V77_01,V56_02,V81,,
,A124_11,Neighbours: Evangelists,,,V43_05,V77_02,,,,
,A124_12,Neighbours: People of a different religion,Q23,V41,V39,V77_03,V56_03,,,
,A124_13,Neighbours: People of the same religion,,,,V77_04,,,,
,A124_14,Neighbours: Militant minority,,,V43,V77_05,,,,
,A124_15,Neighbours: Zoroastrians,,,,V77_06,,,,
,A124_16,Neighbours: People not from country of origin,,,V43_06,V77_07,,,,
,A124_17,Neighbours: Gypsies,EVS_v30,V44_ES,V43_26,V77_08,V56_14,,,
,A124_18,Neighbours: Political Extremists,,,V43_07,V77_09,V53,V82A,V53,
,A124_19,Neighbours: Trafficants,,,,V77_10,V56_04,,,
,A124_20,Neighbours: Indians or Lebanese,,,,V77_11,,,,
,A124_21,Neighbours: Chinese or Philippino Chinese,,,,V77_12,,,,
,A124_22,Neighbours: Spiritists,,,,V77_13,,,,
,A124_23,Neighbours: Protestants,,,,V77_14,,,,
,A124_24,Neighbours: Christians,EVS_v27,,V43_08,V77_15,V56_07,,,
,A124_25,Neighbours: Witchdoctors and related labels,,,,V77_16,,,,
,A124_27,Neighbours: Right wing extremists,,,,,,V73,,
,A124_28,Neighbours: People with large families,,,,,,V74,,
,A124_29,Neighbours: Hindus,,,,,,V82,,
,A124_30,Neighbours: North-American persons,,,,V77_20,V56_05,,,
,A124_31,Neighbours: Haitians,,,,,V56_06,,,
,A124_32,Neighbours: Members of new religious movements,,,,,V56_08,,,
,A124_33,"Neighbours: Jews, Arabs, Asians, gypsies, etc",,,,,V56_09,,,
,A124_34,Neighbours: Black people,,,V43_17,,V56_10,,,
,A124_35,Neighbours: White people,,,V43_18,,V56_11,,,
,A124_36,Neighbours: Coloured people,,,V43_19,,V56_12,,,
,A124_37,Neighbours: Indians,,,V43_20,,V56_13,,,
,A124_38,"Neighbours: Kurds, Esids",,,V43_21,V77_18,V56_15,,,
,A124_42,Neighbours: Unmarried couples living together,Q25,V43,V41,,,,,
,A124_43,Neighbours: People who speak a different language,Q26,V44,V42,,,,,
,A124_45,Neighbours: Sunnis,,,V43_09,V77_17,,,,
,A124_46,Neighbours: Shia,,,V43_10,V77_19,,,,
,A124_47,Neighbours: French,,,V43_11,V77_21,,,,
,A124_48,Neighbours: British,,,V43_12,V77_22,,,,
,A124_49,Neighbours: Iranian,,,V43_13,V77_23,,,,
,A124_50,Neighbours: Kuwaiti,,,V43_14,V77_24,,,,
,A124_51,Neighbours: Turkish,,,V43_15,V77_25,,,,
,A124_52,Neighbours: Jordanian,,,V43_16,V77_26,,,,
,A124_53,Neighbours: Kildani,,,,V77_27,,,,
,A124_54,Neighbours: Indigenes; Aborigenes,,,V43_22,,,,,
,A124_55,Neighbours: Maori,,,V43_23,,,,,
,A124_56,Neighbours: Pacific Islanders,,,V43_24,,,,,
,A124_57,Neighbours: Europeans/Pakeha,,,V43_25,,,,,
,A124_58,Neighbours: Americans,,,V43_27,,,,,
,A124_59,Neighbours: Chaldean,,,V43_28,,,,,
,A124_60,Neighbours: Mapuches,,,V43_29,,,,,
,A124_61,Neighbours: Russians,,,V43_30,,,,,
,A165,Most people can be trusted,Q57,V24,V23,V25,V27,V94,V27,
,A168,Do you think most people try to take advantage of you,,V56_NZ,,V26,,,,
,A168A,Do you think most people try to take advantage of you (10 point scale),,V56,V47,,,,,
,A169,Good human relationships,,,,V38,V48,,,
,A170,Satisfaction with your life,Q49,V23,V22,V81,V65,V96,V65,
,A173,How much freedom of choice and control,Q48,V55,V46,V82,V66,V95,V66,
,A174,Membership consumer organisation,,,V32,,,,,
,A189,Schwartz: It is important to this person to think up new ideas and be creative,,V70,V80,,,,,
,A190,Schwartz: It is important to this person to be rich,,V71,V81,,,,,
,A191,Schwartz: It is important to this person living in secure surroundings,,V72,V82,,,,,
,A192,Schwartz: It is important to this person to have a good time,,V73,V83,,,,,
,A193,Schwartz: It is important to this person to help the people nearby,,V74B,V84,,,,,
,A194,Schwartz: It is important to this person being very successful,,V75,V85,,,,,
,A195,Schwartz: It is important to this person adventure and taking risks,,V76,V86,,,,,
,A196,Schwartz: It is important to this person to always behave properly,,V77,V87,,,,,
,A197,Schwartz: It is important to this person looking after the environment,,V78,V88,,,,,
,A198,Schwartz: It is important to this person tradition,,V79,V89,,,,,
,A199,Schwartz: It is important to this person to do something for the good of society,,V74,,,,,,
,A200,Social position: People in their 20s,,V157,,,,,,
,A201,Social position: People in their 40s,,V158,,,,,,
,A202,Social position: People in their 70s,,V159,,,,,,
,A203,Is a 30-year old boss acceptable,,V160,,,,,,
,A204,People over 70: are seen as friendly,,V161,,,,,,
,A205,People over 70: are seen as competent,,V162,,,,,,
,A206,People over 70: viewed with respect,,V163,,,,,,
,A207,Is a 70-year old boss acceptable,,V164,,,,,,
,A208,Older people are not respected much these days,,V165,,,,,,
,A209,Older people get more than their fair share from the government,,V166,,,,,,
,A210,Older people are a burden on society,,V167,,,,,,
,A211,Companies that employ young people perform better than those that employ people of different ages,,V168,,,,,,
,A212,Old people have too much political influence,,V169,,,,,,
,A213,I see myself as someone who: is reserved,,V160A,,,,,,
,A214,I see myself as someone who: is generally trusting,,V160B,,,,,,
,A215,I see myself as someone who: tends to be lazy,,V160C,,,,,,
,A216,"I see myself as someone who: is relaxed, handles stress well",,V160D,,,,,,
,A217,I see myself as someone who: has few artistic interests,,V160E,,,,,,
,A218,"I see myself as someone who: is outgoing, sociable",,V160F,,,,,,
,A219,I see myself as someone who: tends to find fault with others,,V160G,,,,,,
,A220,I see myself as someone who: does a thorough job,,V160H,,,,,,
,A221,I see myself as someone who: gets nervous easily,,V160I,,,,,,
,A222,I see myself as someone who: has an active imagination,,V160J,,,,,,
,B001,Would give part of my income for the environment,,,V105,V33,,V12,,
,B002,Increase in taxes if used to prevent environmental pollution,,,V106,V34,V38,V13,,
,B003,Government should reduce environmental pollution,,,V107,V35,,V14,,
,B004,Would buy things at a 20% higher price if it helped to protect environment,,,,,V39,,,
,B005,All talk about the environment make people anxious,,,,,,V15,,
,B006,"Combatting unemployment, we have to accept environmental problems",,,,,,V16,,
,B007,Protecting environment and fighting pollution is less urgent than suggested,,,,,,V17,,
,B008,Protecting environment vs. Economic growth,Q111,V81,V104,V36,V41,,,
,B009,Human & nature,,,,V37,V49,,,
,B010,[Country]s environmental problems can be solved without any international agreements to handle them,,,,,V40,,,
,B011,Environmental action: chosen products that are better for environment,,,,,V42,,,
,B012,Environmental action: recycle,,,,,V43,,,
,B013,Environmental action: reduce water consumption,,,,,V44,,,
,B014,"Environmental action: attend meeting, signed petition",,,,,V45,,,
,B015,Environmental action: contributed to environmental organization,,,,,V46,,,
,B016,Tradition vs. high economic growth,,,,,V47,,,
,B017,Humanity has a bright or bleak future,,,,,V50,,,
,B018,Environmental problems in your community: Poor water quality.,,,V108,,,,,
,B019,Environmental problems in your community: Poor air quality.,,,V109,,,,,
,B020,Environmental problems in your community: Poor sewage and sanitation.,,,V110,,,,,
,B021,Environmental problems in the world: Global warming or the greenhouse effect.,,,V111,,,,,
,B022,Environmental problems in the world: Loss of plant or animal species or biodiversity.,,,V112,,,,,
,B023,"Environmental problems in the world: Pollution of rivers, lakes and oceans.",,,V113,,,,,
,B030,Past two years: given money to ecological organization,,V82,,,,,,
,B031,Past two years: participated in demonstration for environment,,V83,,,,,,
,C001,Jobs scarce: Men should have more right to a job than women (3 categories),Q33_3,V45,V44,V78,V61,V128,,
,C001_01,Jobs scarce: Men should have more right to a job than women (5 categories),Q33,,,,,,,
,C002,Jobs scarce: Employers should give priority to (nation) people than immigrants (3 categories),Q34_3,V46,V45,V79,V63,V130,,
,C002_01,Jobs scarce: Employers should give priority to (nation) people than immigrants (5 categories),Q34,,,,,,,
,C004,Jobs scarce: older people should be forced to retire,,,,,V62,V129,,
,C005,Unfair to give work to handicapped people when able bodied people can´t find jobs,,,,,,V131,,
,C006,Satisfaction with financial situation of household,Q50,V59,V68,V80,V64,V132,V64,
,C008,Work compared with Leisure,,,,V83,V72,,,
,C009,"First choice, if looking for a job",,,V48,V84,V73,,,
,C010,Second choice if looking for a job,,,V49,V85,V74,,,
,C011,Important in a job: good pay,EVS_v40,,,V86,V75,V99,V75,
,C012,Important in a job: not too much pressure,,,,V87,V76,V101,V76,
,C013,Important in a job: good job security,,,,V88,V77,V102,V77,
,C014,Important in a job: a respected job,,,,V89,V78,V104,V78,
,C015,Important in a job: good hours,EVS_v41,,,V90,V79,V105,V79,
,C016,Important in a job: an opportunity to use initiative,EVS_v42,,,V91,V80,V106,V80,
,C017,Important in a job: generous holidays,EVS_v43,,,V92,V81,V108,V81,
,C018,Important in a job: that you can achieve something,EVS_v44,,,V93,V82,V110,V82,
,C019,Important in a job: a responsible job,EVS_v45,,,V94,V83,V111,V83,
,C020,Important in a job: a job that is interesting,,,,V95,V84,V112,V84,
,C021,Important in a job: a job that meets one´s abilities,,,,V96,V85,V113,V85,
,C022,Important in a job: pleasant people to work with,,,,,,V100,,
,C023,Important in a job: good chances for promotion,,,,,,V103,,
,C024,Important in a job: a useful job for society,,,,,,V107,,
,C025,Important in a job: meeting people,,,,,,V109,,
,C031,Degree of pride in your work,,,,,,V115,,
,C033,Job satisfaction,,,,,,V116,,
,C034,Freedom decision taking in job,,,,,,V117,,
,C036,To develop talents you need to have a job,EVS_v46,,V50,V97,,,,
,C037,Humiliating to receive money without having to work for it,,,V51,V98,,,,
,C038,People who don´t work turn lazy,Q39,,V52,V99,,,,
,C039,Work is a duty towards society,Q40,,V53,V100,,,,
,C040,People should not have to work if they don´t want to,,,,V101,,,,
,C041,Work should come first even if it means less spare time,Q41,,V54,V102,,,,
,C042B1,Why people work: work is like a business transaction,,,,,,V118,,
,C042B2,Why people work: I do the best I can regardless of pay,,,,,,V119,,
,C042B3,Why people work: I wouldn’t work if I didn’t have to,,,,,,V120,,
,C042B4,Why people work: I wouldn´t work if work interfered my life,,,,,,V121,,
,C042B5,Why people work: work most important in my life,,,,,,V122,,
,C042B6,Why people work: I never had a paid job,,,,,,V123,,
,C042B7,Why people work: don’t know,,,,,,V124,,
,C059,Fairness: One secretary is paid more,,,V115,V103,V86,V125,V86,
,C060,How business and industry should be managed,,,,V104,V87,V126,V87,
,C061,Following instructions at work,,,,V105,V88,V127,V88,
,C062,Work: until satisfied with results,,,,,V67,,,
,C063,Work: accomplish personal goals,,,,,V68,,,
,C064,Work: stay up late to finish,,,,,V69,,,
,COUNTRY_ALPHA,ISO 3166-1 alpha-3 country code,B_COUNTRY_ALPHA,B_COUNTRY_ALPHA,B_COUNTRY_ALPHA,B_COUNTRY_ALPHA,B_COUNTRY_ALPHA,B_COUNTRY_ALPHA,B_COUNTRY_ALPHA,
,COW_ALPHA,CoW country code alpha,C_COW_ALPHA,C_COW_ALPHA,C_COW_ALPHA,C_COW_ALPHA,C_COW_ALPHA,C_COW_ALPHA,C_COW_ALPHA,
,COW_NUM,CoW country code numeric,C_COW_NUM,COW,COW,COW,COW,COW,COW,
,D001,How much do you trust your family,,,,,,V340,,
,D001_B,How much you trust: Your family (B),Q58,V102,V125,,,,,
,D002,Satisfaction with home life,,,,,,V180,,
,D003,Sharing with partner: attitudes towards religion,,,,,,V183,,
,D004,Sharing with partner: moral standards,,,,,,V184,,
,D005,Sharing with partner: social attitudes,,,,,,V185,,
,D006,Sharing with partner: political views,,,,,,V186,,
,D007,Sharing with partner: sexual attitudes,,,,,,V187,,
,D008,Sharing with partner: no sharing attitudes,,,,,,V188,,
,D009,Sharing with partner: don´t know or missing,,,,,,V189,,
,D010,Sharing with parents: attitudes towards religion,,,,,,V190,,
,D011,Sharing with parents: moral standards´,,,,,,V191,,
,D012,Sharing with parents: social attitudes,,,,,,V192,,
,D013,Sharing with parents: political views,,,,,,V193,,
,D014,Sharing with parents: sexual attitudes,,,,,,V194,,
,D015,Sharing with parents: no sharing attitudes,,,,,,V195,,
,D016,Sharing with parents: don´t know or missing,,,,,,V196,,
,D017,Ideal number of children,,,,V108,V91,V213,V91,
,D018,Child needs a home with father and mother,,,V57,V109,V92,V214,V92,
,D019,A woman has to have children to be fulfilled,,,,V110,V93,V215,V93,
,D022,Marriage is an out-dated institution,,,V58,V111,V94,V216,V94,
,D023,Woman as a single parent,,,V59,V112,V96,V217,V96,
,D024,Enjoy sexual freedom,,,,,V95,V197,V95,
,D025,If only one child allowed: boy or girl,,,,,V97,,,
,D026_03,Duty towards society to have children,Q37,,,,,,,
,D026_05,It is childs duty to take care of ill parent,Q38,,,,,,,
,D027,Important for succesful marriage: Faithfulness,EVS_v65,,,,,V198,,
,D028,Important for succesful marriage: Adequate income,EVS_v66,,,,,V199,,
,D029,Important for succesful marriage: Same social background,,,,,,V200,,
,D030,Important for succesful marriage: Respect and appreciation,,,,,,V201,,
,D031,Important for succesful marriage: Religious beliefs,,,,,,V202,,
,D032,Important for succesful marriage: Good housing,EVS_v67,,,,,V203,,
,D033,Important for succesful marriage: Agreement on politics,,,,,,V204,,
,D034,Important in succesful marriage: Understanding and tolerance,,,,,,V205,,
,D035,Important for succesful marriage: Apart from in-laws,,,,,,V206,,
,D036,Important for succesful marriage: Happy sexual relationship,,,,,,V207,,
,D037,Important for succesful marriage: Sharing household chores,EVS_v68,,,,,V208,,
,D038,Important for succesful marriage: Children,EVS_v69,,,,,V209,,
,D043,Important for succesful marriage: Tastes and interests in common,,,,,,V210,,
,D054,One of main goals in life has been to make my parents proud,Q27,V49,V64,V113,V70,,,
,D055,Make effort to live up to what my friends expect,,,V66,V114,V71,,,
,D056,Relationship working mother,,,,V115,V98,V218,,
,D057,Being a housewife just as fulfilling,Q32,V54,V60,V116,V99,V221,,
,D058,Husband and wife should both contribute to income,,,,V117,V100,V223,,
,D059,Men make better political leaders than women do,Q29,V51,V61,V118,V101,,,
,D060,University is more important for a boy than for a girl,Q30,V52,V62,V119,V103,,,
,D061,Pre-school child suffers with working mother,Q28,V50,,,,V219,,
,D062,Women want a home and children,EVS_v73,,,,,V220,,
,D063,Job best way for women to be independent,,,,,,V222,,
,D063_B,Job best way for women to be independent (b),,V48,,,,,,
,D066,Problem if women have more income than husband (4 categories),,,,,V102,,,
,D066_01,Problem if women have more income than husband (5 categories),Q35,,,,,,,
,D066_B,Problem if women have more income than husband (3 categories),Q35_3,V47,,,,,,
,D067,Traits in a woman: Woman wearing weil,,,,IV81,,,,
,D068,Traits in a woman: Woman good mother,,,,IV82,,,,
,D069,Traits in a woman: Woman good wife,,,,IV83,,,,
,D070,Traits in a woman: Woman religious,,,,IV84,,,,
,D071,Traits in a woman: Woman educated,,,,IV85,,,,
,D072,Traits in a woman: Woman being independent,,,,IV88,,,,
,D073,Traits in a woman: Woman having work outside home,,,,IV89,,,,
,D074,Traits in a woman: Woman maintaining her family,,,,IV90,,,,
,D075,Traits in a woman: Woman being sociable,,,,IV91,,,,
,D076,More than one wife,,,,IV86,,,,
,D077,Wife must obey,,,,IV87,,,,
,D078,Men make better business executives than women do,Q31,V53,V63,,,,,
,D079,I seek to be myself rather than to follow others,,,V65,,,,,
,D080,I decide my goals in life by myself,,,V67,,,,,
,D081,Homosexual couples are as good parents as other couples,Q36,,,,,,,
,E001,Aims of country: first choice,Q152,V60,V69,V120,V104,V257,,
,E002,Aims of country: second choice,Q153,V61,V70,V121,V105,V258,,
,E003,Aims of respondent: first choice,Q154,V62,V71,V122,V106,V259,V106,
,E004,Aims of respondent: second choice,Q155,V63,V72,V123,V107,V260,V107,
,E005,Most important: first choice,Q156,V64,V73,V124,V108,V261,,
,E006,Most important: second choice,Q157,V65,V74,V125,V109,V262,,
,E007,National goals: Maintaining order in the nation,,,,,V237A,,,
,E008,National goals: Giving people more say,,,,,V237B,,,
,E009,National goals: Fighting rising prices,,,,,V237C,,,
,E010,National goals: free speech,,,,,V237D,,,
,E012,Willingness to fight for country,Q151,V66,V75,V126,V110,V263,V110,
,E014,Future changes: Less emphasis on money and material possessions,,,,V127,V111,V264,V111,
,E015,Future changes: Less importance placed on work,Q43,V67,V76,V128,V112,V265,V112,
,E016,Future changes: More emphasis on technology,Q44,V68,V77,V129,V113,V266,V113,
,E017,Future changes: More emphasis on individual,,,,,,V267,,
,E018,Future changes: Greater respect for authority,Q45,V69,V78,V130,V114,V268,V114,
,E019,Future changes: More emphasis on family life,,,V79,V131,V115,V269,V115,
,E020,Future changes: A simple and more natural lifestyle,,,,,,V270,,
,E022,Opinion about scientific advances,,,V90,V132,V116,V271,V116,
,E023,Interest in politics,Q199,V84,V95,V133,V117,V241,V117,
,E025,Political action: Signing a petition,Q209,V85,V96,V134,V118,V242,V118,
,E025B,Political action recently done: signing a petition,,V90,V100,,,,,
,E026,Political action: joining in boycotts,Q210,V86,V97,V135,V119,V243,V119,
,E026B,Political action recently done: joining in boycotts,,V91,V101,,,,,
,E027,Political action: attending lawful/peaceful demonstrations,Q211,V87,V98,V136,V120,V244,V120,
,E028,Political action: joining unofficial strikes,Q212,V88,,V137,V121,V245,V121,
,E028B,Political acition recently done: Joining strikes,,V93,,,,,,
,E029,Political action: occupying buildings or factories,,,,V138,V122,V246,V122,
,E032,Freedom or equality,,,,,,V247,,
,E033,Self positioning in political scale,Q240,V95,V114,V139,V123,V248,V123,
,E034,Basic kinds of attitudes concerning society,Q42,,,V140,V124,V249,V124,
,E035,Income equality,Q106,V96,V116,V141,V125,V250,,
,E036,Private vs state ownership of business,Q107,V97,V117,V142,V126,V251,,
,E037,Government responsibility,Q108,V98,V118,V143,V127,V252,,
,E038,Job taking of the unemployed,,,,,,V253,,
,E039,Competition good or harmful,Q109,V99,V119,V144,V128,V254,,
,E040,Hard work brings success,Q110,V100,V120,,V129,V255,,
,E041,Wealth accumulation,,V101,V121,,V130,V256,,
,E045,Major changes in life,,,,,V131,V323,,
,E046,New and old ideas,,,,V145,V132,V324,,
,E047,"Personal characteristics: Changes, worry or welcome possibility",,,,,,V325,,
,E048,Personal characteristics: I usually count on being successful in everything I do,,,,,,V326,,
,E049,Personal characteristics: I enjoy convincing others of my opinion,,,,,,V327,,
,E050,Personal characteristics: I serve as a model for others,,,,,,V328,,
,E051,Personal characteristics: I am good at getting what I want,,,,,,V329,,
,E052,Personal characteristics: I own many things others envy me for,,,,,,V330,,
,E053,Personal characteristics: I like to assume responsibility,,,,,,V331,,
,E054,Personal characteristics: I am rarely unsure about how I should behave,,,,,,V332,,
,E055,Personal characteristics: I often give others advice,,,,,,V333,,
,E056,Personal characteristics: None of the above,,,,,,V334,,
,E057,The economic system needs fundamental changes,,,,,,V335,,
,E058,Our government should be made much more open to the public,,,,,,V336,,
,E059,Allow more freedom for individuals,,,,,,V337,,
,E060,I could do nothing about an unjust law,,,,,,V338,,
,E061,Political reform is moving too rapidly,,,,,,V339,,
,E062,Importation of goods,,,,,V133,,,
,E063,Current society: Egalitarian vs. competitive society,,,,V145A,,,,
,E064,Current society: Extensive welfare vs. low taxes,,,,V145B,,,,
,E065,Current society: Regulated vs. responsible society,,,,V145C,,,,
,E066,Society aimed:  egalitarian vs. competitive,,,,V145D,,,,
,E067,Society aimed: extensive welfare vs. low taxes,,,,V145E,,,,
,E068,Society aimed: regulated vs. responsible society,,,,V145F,,,,
,E069_01,Confidence: Churches,Q64,V108,V131,V147,V135,V272,V135,
,E069_02,Confidence: Armed Forces,Q65,V109,V132,V148,V136,V273,V136,
,E069_03,Confidence: Education System,EVS_v117,,V146_11,,,V274,,
,E069_04,Confidence: The Press,Q66,V110,V133,V149,V138,V276,V138,
